HolidayType,Price,NumberOfPersons,Region,isCar,isTrain,isCoach,isPlane,Duration,Season,Accommodation,Hotel
Skiing,1164.0,5.0,Bavaria,1,0,0,0,14.0,3,6,HFlat Chiemgau Bavaria
Active,684.0,2.0,Bavaria,1,0,0,0,7.0,2,6,HFlat Chiemgau Bavaria
Bathing,399.0,6.0,Belgium,1,0,0,0,3.0,10,6,HFlat Belgium
Recreation,949.0,4.0,Bavaria,1,0,0,0,7.0,3,2,Pension Laerchenhof Bavaria
Bathing,499.0,4.0,Belgium,1,0,0,0,3.0,9,6,HFlat Belgium
Active,745.0,3.0,Bavaria,1,0,0,0,7.0,2,2,Pension Laerchenhof Bavaria
Recreation,1079.0,4.0,Belgium,1,0,0,0,7.0,8,6,HFlat Belgium
Skiing,1658.0,2.0,Bavaria,1,0,0,0,7.0,4,4,Hotel Seidlpark Bavaria
Recreation,1638.0,4.0,Belgium,1,0,0,0,14.0,7,6,HFlat Belgium
Active,2985.0,3.0,Bavaria,1,0,0,0,14.0,3,4,Hotel Seidlpark Bavaria
Active,1448.0,3.0,Belgium,1,0,0,0,14.0,10,6,HFlat Belgium
Skiing,2072.0,3.0,Bavaria,1,0,0,0,7.0,3,4,Residenz Ludwig Bavaria
Recreation,978.0,2.0,Belgium,1,0,0,0,7.0,9,3,Acces Hotel Mercure Belgium
Active,1658.0,2.0,Bavaria,1,0,0,0,7.0,2,4,Residenz Ludwig Bavaria
Recreation,978.0,3.0,Belgium,1,0,0,0,7.0,8,3,Acces Hotel Mercure Belgium
Active,3448.0,2.0,Bavaria,1,0,0,0,10.0,1,3,Hotel Bavaria Bavaria
Active,798.0,3.0,Belgium,1,0,0,0,7.0,7,2,Hotel Ostend Belgium
Recreation,3188.0,2.0,Bavaria,1,0,0,0,14.0,3,3,Hotel Bavaria Bavaria
Recreation,1568.0,2.0,Belgium,1,0,0,0,14.0,6,2,Hotel Ostend Belgium
City,2468.0,2.0,Cairo,0,0,0,1,7.0,9,5,Hotel Moevenpick Cairo
Recreation,484.0,2.0,Harz,1,0,0,0,7.0,9,6,HFlat Harz
Wandering,3768.0,2.0,Harz,1,0,0,0,14.0,6,5,Hotel Maritim Harz
Wandering,699.0,4.0,SalzbergerLand,1,0,0,0,7.0,8,6,HFlat Salzb Land
Recreation,1888.0,3.0,Harz,0,1,0,0,7.0,8,5,Hotel Maritim Harz
Wandering,729.0,6.0,SalzbergerLand,1,0,0,0,7.0,7,6,HFlat Salzb Land
Recreation,1888.0,2.0,Harz,1,0,0,0,7.0,7,5,Hotel Maritim Harz
Wandering,684.0,4.0,SalzbergerLand,1,0,0,0,7.0,6,6,HFlat Salzb Land
Wandering,1172.0,3.0,Harz,1,0,0,0,7.0,6,3,Hotel Waldfrieden Harz
Recreation,1518.0,2.0,SalzbergerLand,1,0,0,0,7.0,7,5,Alpnerresidenz Salzb Land
Recreation,1868.0,2.0,Harz,1,0,0,0,14.0,10,3,Hotel Waldfrieden Harz
Wandering,1798.0,2.0,SalzbergerLand,1,0,0,0,7.0,8,5,Alpnerresidenz Salzb Land
Recreation,1501.0,4.0,Harz,1,0,0,0,7.0,9,3,Hotel Waldfrieden Harz
Active,2627.0,3.0,SalzbergerLand,1,0,0,0,14.0,10,4,Hotel Norica Salzb Land
Recreation,1072.0,3.0,Harz,1,0,0,0,7.0,8,3,Hotel Waldfrieden Harz
Wandering,2127.0,4.0,SalzbergerLand,1,0,0,0,7.0,9,4,Hotel Norica Salzb Land
Wandering,948.0,2.0,Harz,0,1,0,0,14.0,7,2,Hotel Brockenscheideck Harz
Recreation,2322.0,3.0,SalzbergerLand,1,0,0,0,14.0,8,4,Hotel Eschbacher Salzb Land
Recreation,478.0,2.0,Harz,1,0,0,0,7.0,6,2,Hotel Brockenscheideck Harz
Wandering,1538.0,3.0,SalzbergerLand,1,0,0,0,14.0,7,4,Hotel Eschbacher Salzb Land
Recreation,2038.0,2.0,SalzbergerLand,1,0,0,0,21.0,6,3,Gasthof Bachschmied Salzb Land
City,2608.0,2.0,Cairo,0,0,0,1,7.0,6,5,Hotel Moevenpick Cairo
City,1269.0,1.0,Cairo,0,0,0,1,14.0,8,3,Hotel New Marwa Palace Cairo
City,2658.0,2.0,Cairo,0,0,0,1,7.0,6,3,Hotel New Marwa Palace Cairo
City,2308.0,2.0,Cairo,0,0,0,1,7.0,5,3,Hotel New Marwa Palace Cairo
City,1154.0,1.0,Cairo,0,0,0,1,7.0,11,3,Hotel New Marwa Palace Cairo
City,1898.0,2.0,Cairo,0,0,0,1,7.0,10,3,Hotel Victoria Cairo
City,2158.0,2.0,Cairo,0,0,0,1,14.0,7,3,Hotel Victoria Cairo
City,1898.0,2.0,Cairo,0,0,0,1,7.0,6,3,Hotel Victoria Cairo
City,1978.0,2.0,Cairo,0,0,0,1,7.0,5,3,Hotel Victoria Cairo
Education,3738.0,2.0,Egypt,0,0,0,1,14.0,11,4,Anlage Arabia Beach Egypt
Wandering,718.0,2.0,SalzbergerLand,1,0,0,0,7.0,10,3,Gasthof Bachschmied Salzb Land
Active,837.0,4.0,SalzbergerLand,1,0,0,0,7.0,9,3,Hotel Tauernhof Salzb Land
Wandering,1572.0,3.0,SalzbergerLand,1,0,0,0,14.0,8,3,Hotel Tauernhof Salzb Land
Recreation,418.0,2.0,SalzbergerLand,1,0,0,0,7.0,7,2,Pension Claudia Salzb Land
Wandering,778.0,2.0,SalzbergerLand,1,0,0,0,14.0,6,2,Pension Claudia Salzb Land
Active,579.0,4.0,Carinthia,1,0,0,0,7.0,10,6,HFlat Kaernten
Active,829.0,6.0,Carinthia,1,0,0,0,7.0,9,6,HFlat Kaernten
Recreation,1358.0,3.0,Carinthia,1,0,0,0,14.0,8,6,HFlat Kaernten
Recreation,1073.0,2.0,Carinthia,1,0,0,0,14.0,7,6,HFlat Kaernten
Recreation,559.0,3.0,Carinthia,1,0,0,0,7.0,6,6,HFlat Kaernten
Recreation,1149.0,6.0,Carinthia,1,0,0,0,7.0,10,6,HFlat Kaernten
Wandering,1858.0,3.0,Carinthia,1,0,0,0,14.0,9,6,HFlat Kaernten
Wandering,779.0,4.0,Carinthia,1,0,0,0,7.0,8,6,HFlat Kaernten
Wandering,1049.0,6.0,Carinthia,1,0,0,0,7.0,7,6,HFlat Kaernten
Wandering,499.0,4.0,Carinthia,1,0,0,0,7.0,6,6,HFlat Kaernten
Active,2572.0,3.0,Carinthia,1,0,0,0,14.0,8,3,Aktivhotel Alte Muehle Carinthia
Recreation,1698.0,2.0,Carinthia,1,0,0,0,14.0,6,3,Hotel Ebner Carinthia
Recreation,1058.0,2.0,Carinthia,1,0,0,0,7.0,7,3,Hotel Ebner Carinthia
Wandering,1247.0,3.0,Carinthia,1,0,0,0,7.0,8,3,Ferienhotel Eichenhof Carinthia
Wandering,1326.0,5.0,Carinthia,1,0,0,0,7.0,9,3,Ferienhotel Eichenhof Carinthia
Education,4638.0,2.0,Egypt,0,0,0,1,21.0,5,4,Anlage Arabia Beach Egypt
Active,2649.0,3.0,Egypt,0,0,0,1,7.0,8,4,Hotel Winter Palace Egypt
Bathing,2458.0,2.0,Egypt,0,0,0,1,14.0,7,4,Hotel Winter Palace Egypt
Active,3318.0,2.0,Egypt,0,0,0,1,14.0,11,3,Hotel Al Mashrabia Egypt
Bathing,3158.0,2.0,Egypt,0,0,0,1,14.0,10,3,Hotel Al Mashrabia Egypt
Bathing,3195.0,3.0,Egypt,0,0,0,1,7.0,8,3,Hotel Al Mashrabia Egypt
Active,2778.0,2.0,Egypt,0,0,0,1,14.0,7,2,Hotel Geisum Egypt
Bathing,3066.0,3.0,Egypt,0,0,0,1,21.0,6,2,Hotel White House Egypt
Bathing,2498.0,2.0,Egypt,0,0,0,1,14.0,5,2,Hotel White House Egypt
Wandering,1498.0,2.0,Carinthia,1,0,0,0,14.0,10,3,Aktivhotel Alte Muehle Carinthia
Active,889.0,8.0,Denmark,1,0,0,0,7.0,3,6,Feriencenter Danland Denmark
Recreation,1438.0,2.0,Carinthia,1,0,0,0,21.0,9,2,Pension Seehof Carinthia
Recreation,509.0,4.0,Denmark,1,0,0,0,7.0,4,6,Feriencenter Danland Denmark
Recreation,1472.0,3.0,Carinthia,1,0,0,0,14.0,8,2,Pension Seehof Carinthia
Active,629.0,6.0,Denmark,1,0,0,0,7.0,2,6,Feriencenter Vigso Denmark
Wandering,538.0,3.0,Carinthia,1,0,0,0,7.0,7,2,Pension Linde Carinthia
Recreation,629.0,4.0,Denmark,1,0,0,0,7.0,3,6,Feriencenter Vigso Denmark
Wandering,1008.0,2.0,Carinthia,1,0,0,0,14.0,6,2,Pension Linde Carinthia
Active,1278.0,4.0,Denmark,1,0,0,0,14.0,0,6,Feriencenter Rodhus Klit Denmark
Recreation,3278.0,2.0,Malta,0,0,0,1,14.0,6,4,Hotel Cornucopia Malta
Active,639.0,5.0,Denmark,1,0,0,0,7.0,4,6,Feriencenter Rodhus Klit Denmark
Active,4391.0,3.0,Malta,0,0,0,1,14.0,9,4,Hotel Cornucopia Malta
Recreation,639.0,4.0,Denmark,1,0,0,0,7.0,3,6,Feriencenter Rodhus Klit Denmark
Active,3267.0,4.0,Malta,0,0,0,1,7.0,8,4,Hotel Suncrest Malta
Active,439.0,4.0,Denmark,1,0,0,0,4.0,2,6,Ferienpark Lalandia Denmark
Bathing,3978.0,2.0,Malta,0,0,0,1,21.0,7,4,Hotel Suncrest Malta
Recreation,699.0,3.0,Denmark,1,0,0,0,7.0,1,6,Ferienpark Lalandia Denmark
Bathing,4147.0,3.0,Malta,0,0,0,1,14.0,9,4,Hotel Suncrest Malta
Recreation,699.0,2.0,Denmark,1,0,0,0,7.0,0,6,Ferienpark Lalandia Denmark
Recreation,3518.0,2.0,Malta,0,0,0,1,21.0,6,3,Hotel Atlantis Malta
Recreation,619.0,6.0,Belgium,1,0,0,0,4.0,4,6,SunParks Vielsalm Belgium
Active,3078.0,2.0,Malta,0,0,0,1,14.0,10,3,Hotel Atlantis Malta
Active,919.0,8.0,Belgium,1,0,0,0,7.0,0,6,SunParks Vielsalm Belgium
Bathing,4729.0,3.0,Malta,0,0,0,1,21.0,8,3,Hotel Calypso Malta
Recreation,649.0,4.0,Belgium,1,0,0,0,7.0,4,6,SunParks Vielsalm Belgium
Bathing,4476.0,4.0,Malta,0,0,0,1,14.0,9,3,Hotel Calypso Malta
Active,499.0,4.0,Belgium,1,0,0,0,3.0,1,6,SunParks Rauwse Meren Belgium
Bathing,3637.0,3.0,Malta,0,0,0,1,14.0,8,3,Hotel Calypso Malta
Active,959.0,5.0,Belgium,1,0,0,0,7.0,3,6,SunParks Rauwse Meren Belgium
Language,2039.0,1.0,Malta,0,0,0,1,21.0,10,3,Sprachkurs Malta
Recreation,1338.0,4.0,Belgium,1,0,0,0,14.0,2,6,SunParks Rauwse Meren Belgium
Bathing,1598.0,2.0,Malta,0,0,0,1,14.0,7,2,Hotel Viking Malta
Recreation,339.0,5.0,Belgium,1,0,0,0,4.0,3,6,SunParks Groendyk Belgium
Language,1539.0,1.0,Malta,0,0,0,1,14.0,9,2,Sprachkurs Malta
Active,649.0,6.0,Belgium,1,0,0,0,7.0,0,6,SunParks Groendyk Belgium
Language,4078.0,2.0,Malta,0,0,0,1,21.0,8,2,Sprachkurs Malta
Recreation,849.0,3.0,Belgium,1,0,0,0,7.0,3,6,SunParks Groendyk Belgium
Language,2039.0,1.0,Malta,0,0,0,1,21.0,10,2,Sprachkurs Malta
Active,369.0,4.0,Belgium,1,0,0,0,4.0,1,6,SunParks De HaanBelgium
Recreation,1574.0,4.0,France,1,0,0,0,7.0,3,6,HFlat Les Olympiades France
Skiing,589.0,4.0,France,1,0,0,0,7.0,2,6,HFlat Les Olympiades France
Active,589.0,4.0,France,1,0,0,0,7.0,1,6,HFlat Les Olympiades France
Recreation,1728.0,6.0,France,1,0,0,0,14.0,2,6,HFlat Cheval Blanc France
Skiing,1094.0,5.0,France,1,0,0,0,7.0,3,6,HFlat Cheval Blanc France
Active,559.0,4.0,Tyrol,1,0,0,0,7.0,6,6,HFlat Tirol Italy
Recreation,719.0,6.0,Belgium,1,0,0,0,7.0,2,6,SunParks De HaanBelgium
Recreation,1398.0,4.0,Tyrol,1,0,0,0,14.0,10,6,HFlat Tirol Italy
Active,879.0,8.0,Belgium,1,0,0,0,7.0,1,6,SunParks De HaanBelgium
Recreation,769.0,6.0,Tyrol,1,0,0,0,7.0,9,6,HFlat Tirol Italy
Recreation,649.0,4.0,Belgium,1,0,0,0,7.0,0,6,SunParks De HaanBelgium
Wandering,319.0,3.0,Tyrol,1,0,0,0,7.0,8,6,HFlat Tirol Italy
Active,394.0,6.0,Belgium,1,0,0,0,4.0,2,6,Ferienpark Atlantis Belgium
Wandering,439.0,4.0,Tyrol,1,0,0,0,7.0,7,6,HFlat Tirol Italy
Recreation,314.0,2.0,Belgium,1,0,0,0,3.0,0,6,Ferienpark Atlantis Belgium
Recreation,2888.0,2.0,Tyrol,1,0,0,0,14.0,7,4,Hotel Nido South Tyrol
Active,1068.0,4.0,Belgium,1,0,0,0,14.0,4,6,Ferienpark Atlantis Belgium
Recreation,1997.0,4.0,Tyrol,1,0,0,0,7.0,10,4,Hotel Nido South Tyrol
Active,434.0,2.0,Belgium,1,0,0,0,7.0,0,6,Ferienpark Atlantis Belgium
Wandering,2658.0,2.0,Tyrol,1,0,0,0,14.0,8,4,Posthotel Weisses Roessel South Tyrol
Recreation,739.0,4.0,Belgium,1,0,0,0,14.0,3,6,Ferienpark Atlantis Belgium
Wandering,1479.0,3.0,Tyrol,1,0,0,0,7.0,7,4,Posthotel Weisses Roessel South Tyrol
Recreation,434.0,3.0,Belgium,1,0,0,0,7.0,1,6,Ferienpark Atlantis Belgium
Active,798.0,2.0,Tyrol,1,0,0,0,7.0,8,3,Gasthof Adler South Tyrol
Recreation,434.0,2.0,Belgium,1,0,0,0,7.0,0,6,Ferienpark Atlantis Belgium
Active,1339.0,4.0,France,1,0,0,0,7.0,4,6,HFlat Cheval Blanc France
Recreation,1014.0,4.0,France,1,0,0,0,7.0,3,6,HFlat Bellecote France
Skiing,3368.0,5.0,France,1,0,0,0,14.0,2,6,HFlat Bellecote France
Active,764.0,4.0,France,1,0,0,0,7.0,1,6,HFlat Bellecote France
Recreation,824.0,6.0,France,1,0,0,0,7.0,2,6,HFlat Le Cervin France
Skiing,1654.0,5.0,France,1,0,0,0,7.0,3,6,HFlat Le Cervin France
Active,844.0,4.0,France,1,0,0,0,7.0,4,6,HFlat Le Cervin France
Recreation,1624.0,5.0,France,1,0,0,0,7.0,3,6,HFlat Maeva France
Skiing,624.0,4.0,France,1,0,0,0,7.0,2,6,HFlat Maeva France
Active,624.0,4.0,France,1,0,0,0,7.0,1,6,HFlat Maeva France
Recreation,1528.0,2.0,Tyrol,1,0,0,0,14.0,9,3,Gasthof Adler South Tyrol
Active,1498.0,7.0,Balaton,1,0,0,0,14.0,10,6,HFlat Balaton
Wandering,718.0,2.0,Tyrol,1,0,0,0,7.0,10,3,Hotel Untersteinerhof South Tyrol
Recreation,279.0,2.0,Balaton,1,0,0,0,7.0,7,6,HFlat Balaton
Wandering,1499.0,3.0,Tyrol,1,0,0,0,14.0,8,3,Hotel Untersteinerhof South Tyrol
Recreation,658.0,3.0,Balaton,1,0,0,0,14.0,6,6,HFlat Balaton
Recreation,822.0,3.0,Tyrol,1,0,0,0,7.0,6,2,Pension garni Toni South Tyrol
Bathing,798.0,2.0,Balaton,1,0,0,0,14.0,9,6,HFlat Balaton
Wandering,1258.0,2.0,Tyrol,1,0,0,0,14.0,7,2,Pension garni Toni South Tyrol
Bathing,759.0,5.0,Balaton,1,0,0,0,7.0,8,6,HFlat Balaton
Active,1588.0,2.0,Riviera,1,0,0,0,14.0,8,6,HFlat Riviera Italy
Bathing,879.0,9.0,Balaton,1,0,0,0,7.0,7,6,HFlat Balaton
Active,529.0,4.0,Riviera,1,0,0,0,7.0,7,6,HFlat Riviera Italy
Recreation,2758.0,2.0,Balaton,1,0,0,0,14.0,7,4,Hotel Helikon Balaton
Recreation,1088.0,6.0,Riviera,1,0,0,0,14.0,6,6,HFlat Riviera Italy
Bathing,2758.0,3.0,Balaton,1,0,0,0,14.0,8,4,Hotel Helikon Balaton
Recreation,429.0,6.0,Riviera,1,0,0,0,7.0,7,6,HFlat Riviera Italy
Bathing,2447.0,3.0,Balaton,1,0,0,0,21.0,9,3,Hotel Marina Balaton
Bathing,1738.0,3.0,Riviera,1,0,0,0,14.0,8,6,HFlat Riviera Italy
Bathing,3537.0,4.0,Balaton,1,0,0,0,14.0,8,3,Hotel Marina Balaton
Skiing,483.0,4.0,Thuringia,1,0,0,0,7.0,3,6,HFlat Ruppertus Thuringia
Active,483.0,3.0,Thuringia,1,0,0,0,7.0,2,6,HFlat Ruppertus Thuringia
Recreation,774.0,4.0,Thuringia,1,0,0,0,9.0,1,6,HFlat Ruppertus Thuringia
Wandering,483.0,4.0,Thuringia,1,0,0,0,7.0,2,6,HFlat Ruppertus Thuringia
Wandering,855.0,4.0,Thuringia,1,0,0,0,14.0,4,6,HFlat Ruppertus Thuringia
Skiing,389.0,4.0,Thuringia,1,0,0,0,7.0,3,6,HFlat Schmeheim Thuringia
Active,924.0,4.0,Thuringia,1,0,0,0,9.0,1,6,HFlat Schmeheim Thuringia
Recreation,389.0,3.0,Thuringia,1,0,0,0,7.0,2,6,HFlat Schmeheim Thuringia
Wandering,389.0,4.0,Thuringia,1,0,0,0,7.0,4,6,HFlat Schmeheim Thuringia
Wandering,389.0,3.0,Thuringia,1,0,0,0,7.0,3,6,HFlat Schmeheim Thuringia
Active,2879.0,3.0,Tunisia,0,0,0,1,14.0,10,4,Hotel Jockey Club Tunisia
Active,2898.0,2.0,Tunisia,0,0,0,1,14.0,9,4,Hotel Jockey Club Tunisia
Bathing,2228.0,2.0,Tunisia,0,0,0,1,7.0,7,4,Hotel Royal Golf Tunisia
Recreation,1888.0,2.0,Tunisia,0,0,0,1,14.0,6,4,Hotel Royal Golf Tunisia
Bathing,4773.0,4.0,Tunisia,0,0,0,1,14.0,8,4,Hotel Paradise Tunisia
Bathing,2808.0,2.0,Tunisia,0,0,0,1,14.0,7,4,Hotel Paradise Tunisia
Active,2964.0,3.0,Tunisia,0,0,0,1,14.0,10,3,Hotel Aqua Viva Tunisia
Recreation,2258.0,2.0,Tunisia,0,0,0,1,14.0,6,3,Hotel Aqua Viva Tunisia
Recreation,2768.0,2.0,Tunisia,0,0,0,1,21.0,7,3,Hotel-Club Nador Tunisia
Bathing,3203.0,3.0,Tunisia,0,0,0,1,14.0,9,3,Hotel-Club Nador Tunisia
Bathing,3464.0,4.0,Tunisia,0,0,0,1,7.0,8,3,Hotel Montazah Tunisia
Bathing,4114.0,3.0,Tunisia,0,0,0,1,14.0,7,3,Hotel Montazah Tunisia
Active,2637.0,3.0,Tunisia,0,0,0,1,14.0,10,2,Hotel-Club Ramses Tunisia
Recreation,2058.0,2.0,Tunisia,0,0,0,1,14.0,6,2,Hotel-Club Ramses Tunisia
Bathing,1778.0,2.0,Tunisia,0,0,0,1,14.0,7,2,Hotel Solymar Tunisia
Bathing,2778.0,3.0,Tunisia,0,0,0,1,14.0,8,2,Hotel Solymar Tunisia
Education,2498.0,2.0,TurkishRiviera,0,0,0,1,14.0,11,4,Hotel Sueral Turk Riviera
Active,2898.0,2.0,TurkishRiviera,0,0,0,1,14.0,6,4,Hotel Sueral Turk Riviera
Bathing,3258.0,3.0,TurkishRiviera,0,0,0,1,14.0,10,4,Hotel Botanik Turk Riviera
Bathing,3325.0,3.0,TurkishRiviera,0,0,0,1,7.0,8,4,Hotel Botanik Turk Riviera
Bathing,3258.0,2.0,TurkishRiviera,0,0,0,1,14.0,7,4,Hotel Botanik Turk Riviera
Education,2698.0,2.0,TurkishRiviera,0,0,0,1,14.0,6,3,Hotel Sueral Garden Turk Riviera
Active,3058.0,2.0,TurkishRiviera,0,0,0,1,14.0,10,3,Hotel Sueral Garden Turk Riviera
Bathing,3891.0,3.0,TurkishRiviera,0,0,0,1,21.0,7,3,Hotel Akropol Turk Riviera
Bathing,2258.0,2.0,TurkishRiviera,0,0,0,1,7.0,9,3,Hotel Akropol Turk Riviera
Bathing,2738.0,2.0,TurkishRiviera,0,0,0,1,14.0,7,3,Hotel Panorama Turk Riviera
Bathing,2838.0,2.0,TurkishRiviera,0,0,0,1,14.0,8,3,Hotel Panorama Turk Riviera
Bathing,4107.0,4.0,TurkishRiviera,0,0,0,1,14.0,9,3,Hotel Panorama Turk Riviera
Active,3160.0,3.0,TurkishRiviera,0,0,0,1,21.0,10,2,Hotel Alaiye Turk Riviera
Bathing,2941.0,3.0,TurkishRiviera,0,0,0,1,14.0,8,2,Hotel Alaiye Turk Riviera
Recreation,1968.0,2.0,Rhodes,0,0,0,1,7.0,6,3,Hotel Kalithea Sun Rhodes
Bathing,2791.0,3.0,Rhodes,0,0,0,1,14.0,8,3,Hotel Dafni Rhodes
Bathing,3553.0,4.0,Rhodes,0,0,0,1,14.0,9,3,Hotel Dafni Rhodes
Bathing,2263.0,3.0,Rhodes,0,0,0,1,7.0,8,3,Hotel Dafni Rhodes
Bathing,2428.0,2.0,Rhodes,0,0,0,1,21.0,7,2,Studios Argiro Rhodes
Bathing,2263.0,3.0,Rhodes,0,0,0,1,14.0,6,2,Studios Argiro Rhodes
Education,3038.0,2.0,Crete,0,0,0,1,14.0,6,4,Hotel Europa Beach Crete
Active,4463.0,3.0,Crete,0,0,0,1,21.0,7,4,Hotel Europa Beach Crete
Active,4068.0,3.0,Crete,0,0,0,1,14.0,9,4,Hotel Bali Paradise Crete
Bathing,6609.0,3.0,Crete,0,0,0,1,21.0,8,4,Hotel Bali Paradise Crete
Bathing,2298.0,2.0,TurkishRiviera,0,0,0,1,14.0,7,2,Hotel Alaiye Turk Riviera
Active,2918.0,2.0,TurkishAegeanSea,0,0,0,1,14.0,7,4,Club Ephesus Princess Turk Aegean Sea
Bathing,3010.0,3.0,TurkishAegeanSea,0,0,0,1,7.0,8,4,Hotel Biltur Turk Aegean Sea
Bathing,4313.0,4.0,TurkishAegeanSea,0,0,0,1,14.0,9,4,Hotel Biltur Turk Aegean Sea
Education,3278.0,2.0,TurkishAegeanSea,0,0,0,1,21.0,6,3,Hotel Batihan Turk Aegean Sea
Bathing,2878.0,2.0,TurkishAegeanSea,0,0,0,1,14.0,10,3,Hotel Batihan Turk Aegean Sea
Bathing,2412.0,3.0,TurkishAegeanSea,0,0,0,1,7.0,9,3,Club Pigale Turk Aegean Sea
Bathing,3171.0,3.0,TurkishAegeanSea,0,0,0,1,14.0,8,3,Club Pigale Turk Aegean Sea
Bathing,1958.0,2.0,TurkishAegeanSea,0,0,0,1,14.0,7,2,Hotel Talat Turk Aegean Sea
Education,2878.0,2.0,TurkishAegeanSea,0,0,0,1,14.0,6,4,Hotel Marti Turk Aegean Sea
Bathing,2298.0,2.0,Crete,0,0,0,1,7.0,6,4,Hotel Fodele Beach Crete
Bathing,3198.0,2.0,Crete,0,0,0,1,14.0,7,4,Hotel Fodele Beach Crete
Active,2758.0,2.0,Crete,0,0,0,1,14.0,7,3,Hotel Gortyna Crete
Active,3038.0,2.0,Crete,0,0,0,1,14.0,10,3,Hotel Gortyna Crete
Bathing,3175.0,4.0,Crete,0,0,0,1,7.0,8,3,Hotel Gortyna Crete
Bathing,3847.0,3.0,Crete,0,0,0,1,14.0,9,3,Hotel Creta Beach Crete
Bathing,4198.0,2.0,Crete,0,0,0,1,21.0,7,3,Hotel Creta Beach Crete
Bathing,3498.0,2.0,Crete,0,0,0,1,14.0,10,3,Hotel Creta Beach Crete
Active,2825.0,4.0,Crete,0,0,0,1,7.0,9,2,Hotel Oceanis Crete
Bathing,2417.0,3.0,Crete,0,0,0,1,14.0,8,2,Hotel Ilios Crete
Bathing,2758.0,2.0,TurkishAegeanSea,0,0,0,1,14.0,9,3,Hotel Turunc Turk Aegean Sea
Active,3065.0,3.0,TurkishAegeanSea,0,0,0,1,7.0,8,3,Hotel Turunc Turk Aegean Sea
Active,2578.0,2.0,TurkishAegeanSea,0,0,0,1,14.0,10,3,Hotel Alinda Turk Aegean Sea
Bathing,4770.0,4.0,TurkishAegeanSea,0,0,0,1,21.0,9,3,Hotel Alinda Turk Aegean Sea
Bathing,2483.0,3.0,TurkishAegeanSea,0,0,0,1,14.0,8,2,Hotel Villa Soel Turk Aegean Sea
Bathing,2178.0,2.0,TurkishAegeanSea,0,0,0,1,14.0,7,2,Hotel Villa Soel Turk Aegean Sea
Wandering,698.0,2.0,GiantMountains,0,1,0,0,7.0,10,3,Hotel Horal Giant Mountains
Recreation,1185.0,3.0,GiantMountains,0,1,0,0,7.0,9,3,Hotel Horal Giant Mountains
